"armor","artist","attack","cardClass","classes__001","classes__002","classes__003","collectible","collectionText","cost","dbfId","faction","entourage__001","entourage__002","entourage__003","entourage__004","entourage__005","entourage__006","entourage__007","entourage__008","entourage__009","entourage__010","durability","elite","flavor","hideStats","howToEarn","howToEarnGolden","health","id","mechanics__001","mechanics__002","mechanics__003","mechanics__004","multiClassGroup","name","questReward","playRequirements__REQ_CANNOT_PLAY_THIS","playRequirements__REQ_TARGET_IF_AVAILABLE_AND_MINIMUM_FRIENDLY_SECRETS","playRequirements__REQ_FROZEN_TARGET","playRequirements__REQ_SECRET_ZONE_CAP_FOR_NON_SECRET","playRequirements__REQ_FRIENDLY_MINIONS_OF_RACE_DIED_THIS_GAME","playRequirements__REQ_DRAG_TO_PLAY","playRequirements__REQ_MINIMUM_TOTAL_MINIONS","playRequirements__REQ_DAMAGED_TARGET","playRequirements__REQ_WEAPON_EQUIPPED","playRequirements__REQ_MINION_SLOT_OR_MANA_CRYSTAL_SLOT","playRequirements__REQ_HERO_TARGET","playRequirements__REQ_LEGENDARY_TARGET","playRequirements__REQ_FRIENDLY_MINION_DIED_THIS_GAME","playRequirements__REQ_TARGET_IF_AVAILABLE_AND_MINIMUM_FRIENDLY_MINIONS","playRequirements__REQ_NUM_MINION_SLOTS","playRequirements__REQ_TARGET_MAX_ATTACK","overload","playRequirements__REQ_FRIENDLY_TARGET","playRequirements__REQ_TARGET_FOR_COMBO","playRequirements__REQ_MINIMUM_ENEMY_MINIONS","playRequirements__REQ_ENEMY_TARGET","race","playRequirements__REQ_MINION_TARGET","playRequirements__REQ_TARGET_IF_AVAILABLE_AND_NO_3_COST_CARD_IN_DECK","playRequirements__REQ_MUST_TARGET_TAUNTER","playRequirements__REQ_STEALTHED_TARGET","playRequirements__REQ_NONSELF_TARGET","playRequirements__REQ_TARGET_IF_AVAILABE_AND_ELEMENTAL_PLAYED_LAST_TURN","playRequirements__REQ_TARGET_IF_AVAILABLE_AND_DRAGON_IN_HAND","playRequirements__REQ_TARGET_IF_AVAILABLE","playRequirements__REQ_TARGET_MIN_ATTACK","playRequirements__REQ_TARGET_WITH_DEATHRATTLE","playRequirements__REQ_TARGET_TO_PLAY","playRequirements__REQ_UNDAMAGED_TARGET","playRequirements__REQ_TARGET_WITH_RACE","rarity","referencedTags__001","referencedTags__002","referencedTags__003","referencedTags__004","set","spellDamage","targetingArrowText","text","type"
"","Slawomir Maniak","2","NEUTRAL","","","","True","","4","2569","","","","","","","","","","","","","","A result of magical experiments carried out by the Black Dragonflight, it's not his fault that he's a vicious killer.","","","","6","AT_017","BATTLECRY","","","","","Twilight Guardian","","","","","","","","","","","","","","","","","","","","","","","DRAGON","","","","","","","","","","","","","","EPIC","TAUNT","","","","TGT","","","<b>Battlecry:</b> If you're holding a Dragon, gain +1 Attack and <b>Taunt</b>.","MINION"
"","Chris Rahn","5","PRIEST","","","","True","","7","2556","","","","","","","","","","","","","True","She sees into your past and makes you face your fears.  Most common fear:  Getting Majordomo out of Sneed's Old Shredder.","","","","4","AT_018","INSPIRE","","","","","Confessor Paletress","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","LEGENDARY","","","","","TGT","","","<b>Inspire:</b> Summon a random <b>Legendary</b> minion.","MINION"
"","Alex Horley Orlandelli","1","WARLOCK","","","","True","","4","2822","","","","","","","","","","","","","","Crescendo himself summoned this steed, riding it to victory in the Grand Tournament.  Wherever he rides, an army of riders ride behind him, supporting the legendary champion.","","","","1","AT_019","DEATHRATTLE","","","","","Dreadsteed","","","","","","","","","","","","","","","","","","","","","","","DEMON","","","","","","","","","","","","","","EPIC","","","","","TGT","","","<b>Deathrattle:</b> At the end\n of the turn, summon a Dreadsteed.","MINION"
"","Anton Zemskov","6","WARLOCK","","","","True","","7","2624","","","","","","","","","","","","","","They were originally called Cuddleguards, but they were not inspiring the proper amount of fear.","","","","8","AT_020","","","","","","Fearsome Doomguard","","","","","","","","","","","","","","","","","","","","","","","DEMON","","","","","","","","","","","","","","COMMON","","","","","TGT","","","","MINION"
"","Raymond Swanland","3","WARLOCK","","","","True","","2","2777","","","","","","","","","","","","","","""No, no, no. I asked for a tiny JESTER of evil.""","","","","2","AT_021","TRIGGER_VISUAL","","","","","Tiny Knight of Evil","","","","","","","","","","","","","","","","","","","","","","","DEMON","","","","","","","","","","","","","","RARE","","","","","TGT","","","Whenever you discard a card, gain +1/+1.","MINION"
"","Matt Dixon","","WARLOCK","","","","True","","4","2628","","","","","","","","","","","","","","* Not actually Jaraxxus' fist.","","","","","AT_022","InvisibleDeathrattle","","","","","Fist of Jaraxxus","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","RARE","","","","","TGT","","","When you play or discard this, deal $4 damage to a random enemy.","SPELL"
"","Skan Srisuwan","5","WARLOCK","","","","True","","6","2537","","","","","","","","","","","","","","We like to call him ""Wesley"".","","","","4","AT_023","INSPIRE","","","","","Void Crusher","","","","","","","","","","","","","","","","","","","","","","","DEMON","","","","","","","","","","","","","","RARE","","","","","TGT","","","<b>Inspire:</b> Destroy a random minion for each player.","MINION"
"","Kevin Chen","","WARLOCK","","","","True","","2","2535","","","","","","","","","","","","","","Very dangerous when attached to a demonbomb.","","","","","AT_024","","","","","","Demonfuse","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","0","","15","COMMON","","","","","TGT","","","Give a Demon +3/+3. Give your opponent a Mana Crystal.","SPELL"
"","Paul Mafayon","","WARLOCK","","","","True","","6","2632","","","","","","","","","","","","","","A prime example of lose-lose negotiating.","","","","","AT_025","","","","","","Dark Bargain","","","","","","","","","","","","","","","","","","","","","2","","","","","","","","","","","","","","","","EPIC","","","","","TGT","","","Destroy 2 random enemy minions. Discard 2 random cards.","SPELL"
"","Sojin Hwang","4","WARLOCK","","","","True","","2","2623","","","","","","","","","","","","","","After playing against 5 Annoy-O-Trons, any normal guard will become a Wrathguard.","","","","3","AT_026","TRIGGER_VISUAL","","","","","Wrathguard","","","","","","","","","","","","","","","","","","","","","","","DEMON","","","","","","","","","","","","","","COMMON","","","","","TGT","","","Whenever this minion takes damage, also deal that amount to your hero.","MINION"
"","Tooth","4","WARLOCK","","","","True","","6","2621","","","","","","","","","","","","","True","He can summon anything, even a FEARSOME DOOMGUARD*.\n*He's pretty sure this is going to work out.","","","","4","AT_027","","","","","","Wilfred Fizzlebang","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","LEGENDARY","","","","","TGT","","","Cards you draw from your Hero Power cost (0).","MINION"
"","Ryan Metcalf","3","ROGUE","","","","True","","5","2765","","","","","","","","","","","","","","He needed a break after that business in the Vale of Eternal Blossoms. Naturally, he chose to spend his vacation in an icy snowscape killing monsters.","","","","7","AT_028","COMBO","","","","","Shado-Pan Rider","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","COMMON","","","","","TGT","","","<b>Combo:</b> Gain +3 Attack.","MINION"
"","Matt Dixon","2","ROGUE","","","","True","","1","2715","","","","","","","","","","","","","","The best part of buccaneering is the pants.","","","","1","AT_029","TRIGGER_VISUAL","","","","","Buccaneer","","","","","","","","","","","","","","","","","","","","","","","PIRATE","","","","","","","","","","","","","","COMMON","","","","","TGT","","","Whenever you equip a weapon, give it +1 Attack.","MINION"
"","Zoltan Boros","3","ROGUE","","","","True","","2","2767","","","","","","","","","","","","","","Almost went to play for Stormwind before signing with Undercity.","","","","2","AT_030","COMBO","","","","","Undercity Valiant","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","COMMON","","","","","TGT","","Deal 1 damage.","<b>Combo:</b> Deal 1 damage.","MINION"
"","Alex Horley Orlandelli","2","ROGUE","","","","True","","2","2766","","","","","","","","","","","","","","He has a giant collection of purses now.  One for every outfit!","","","","2","AT_031","TRIGGER_VISUAL","","","","","Cutpurse","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","RARE","","","","","TGT","","","Whenever this minion attacks a hero, add the Coin to your hand.","MINION"
"","Tooth","4","ROGUE","","","","True","","3","2768","","","","","","","","","","","","","","I have great deal for you... for 4 damage to your face!","","","","3","AT_032","BATTLECRY","","","","","Shady Dealer","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","RARE","","","","","TGT","","","<b>Battlecry:</b> If you have a Pirate, gain +1/+1.","MINION"
"","Matt Dixon","","ROGUE","","","","True","","3","2770","","","","","","","","","","","","","","Yoink!","","","","","AT_033","","","","","","Burgle","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","RARE","","","","","TGT","","","Add 2 random cards to your hand <i>(from your opponent's class)</i>.","SPELL"
"","Nutthapon Petchthai","1","ROGUE","","","","True","","4","2763","","","","","","","","","","","","3","","How much more poisoned can a blade get?  The answer is a lot.  A lot more poisoned.","","","","","AT_034","","","","","","Poisoned Blade","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","EPIC","","","","","TGT","","","Your Hero Power gives this weapon +1 Attack instead of replacing it.","WEAPON"
"","Daren Bader","","ROGUE","","","","True","","3","2587","","","","","","","","","","","","","","Can you hold these eggs for just a second?  I promise they're not full of giant enraged undead spider things.","","","","","AT_035","","","","","","Beneath the Grounds","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","EPIC","","","","","TGT","","","Shuffle 3 Ambushes into your opponent's deck. When drawn, you summon a 4/4 Nerubian.","SPELL"
"","Eric Braddock","8","ROGUE","","","","True","","9","2586","","","","","","","","","","","","","True","Was actually a pretty nice guy before, you know, the whole Lich King thing.","","","","4","AT_036","DEATHRATTLE","","","","","Anub'arak","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","LEGENDARY","","","","","TGT","","","<b>Deathrattle:</b> Return this to your hand and summon a 4/4 Nerubian.","MINION"
"","Dan Brereton","","DRUID","","","","True","","1","2792","","","","","","","","","","","","","","2 out of 2 saplings recommend that you summon the saplings.","","","","","AT_037","CHOOSE_ONE","","","","","Living Roots","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","COMMON","","","","","TGT","","","<b>Choose One -</b> Deal $2 damage; or Summon two 1/1 Saplings.","SPELL"
"","Laurel Austin","2","DRUID","","","","True","","2","2782","","","","","","","","","","","","","","She loves mana crystals, she hates mana crystals.   So fickle!","","","","3","AT_038","BATTLECRY","DEATHRATTLE","","","","Darnassus Aspirant","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","RARE","","","","","TGT","","","<b>Battlecry:</b> Gain an empty Mana Crystal.\n<b>Deathrattle:</b> Lose a Mana Crystal.","MINION"
"","Alex Pascenko","5","DRUID","","","","True","","4","2780","","","","","","","","","","","","","","Maybe if you whistle a tune it will soothe him.  Yeah...  Try that.","","","","4","AT_039","INSPIRE","","","","","Savage Combatant","","","","","","","","","","","","","","","","","","","","","","","BEAST","","","","","","","","","","","","","","RARE","","","","","TGT","","","<b>Inspire:</b> Give your hero\n+2 Attack this turn.","MINION"
"","James Ryman","4","DRUID","","","","True","","4","2786","","","","","","","","","","","","","","She was born to be something.  She is just not quite sure what yet...","","","","4","AT_040","BATTLECRY","","","","","Wildwalker","","","","","","","","","","","","","","","","","","","0","","","","","0","","","","","","","0","","","","","20","COMMON","","","","","TGT","","","<b>Battlecry:</b> Give a friendly Beast +3 Health.","MINION"
"","Ralph Horsley","6","DRUID","","","","True","","7","2788","","","","","","","","","","","","","","He gets a discount on the tournament entry fee because he is his own horse.","","","","6","AT_041","","","","","","Knight of the Wild","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","RARE","","","","","TGT","","","Whenever you summon a Beast, reduce the Cost of this card by (1).","MINION"
"","Arthur Gimaldinov","2","DRUID","","","","True","","2","2783","","","","","","","","","","","","","","That's saberTEETH, not like curved pirate blades.  That's a different kind of druid.  Druid of the Curved Pirate Blades.","","","","1","AT_042","CHOOSE_ONE","","","","","Druid of the Saber","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","COMMON","CHARGE","STEALTH","","","TGT","","","[x]<b>Choose One -</b> Transform\ninto a 2/1 with <b>Charge</b>;\nor a 3/2 with <b>Stealth</b>.","MINION"
"","Christopher Moeller","","DRUID","","","","True","","4","2785","","","","","","","","","","","","","","Hey!  Moon!  Can I have some mana crystals?","","","","","AT_043","","","","","","Astral Communion","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","EPIC","","","","","TGT","","","Gain 10 Mana Crystals. Discard your hand.","SPELL"
"","Dan Scott","","DRUID","","","","True","","3","2793","","","","","","","","","","","","","","Is this a noun or a verb?  We will never know.","","","","","AT_044","","","","","","Mulch","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","0","","","EPIC","","","","","TGT","","","Destroy a minion.\nAdd a random minion to your opponent's hand.","SPELL"
"","Velvet Engine","5","DRUID","","","","True","","9","2796","","","","","","","","","","","","","True","Call her ""Tweety"".  She'll find it real funny.  I PROMISE.","","","","5","AT_045","AURA","","","","","Aviana","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","LEGENDARY","","","","","TGT","","","Your minions cost (1).","MINION"
"","Eva Widermann","3","SHAMAN","","","","True","","3","2513","","","","","","","","","","","","","","Turns out the tuskarr aren't real choosy about their totems.","","","","2","AT_046","BATTLECRY","","","","","Tuskarr Totemic","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","COMMON","","","","","TGT","","","<b>Battlecry:</b> Summon a random basic Totem.","MINION"
"","RK Post","4","SHAMAN","","","","True","","4","2613","","","","","","","","","","","","","","It's nice to find a real craftsman in this day and age of mass-produced totems.","","","","4","AT_047","BATTLECRY","","","","","Draenei Totemcarver","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","RARE","","","","","TGT","","","<b>Battlecry:</b> Gain +1/+1 for each friendly Totem.","MINION"
"","Luca Zontini","","SHAMAN","","","","True","","3","2612","","","","","","","","","","","","","","Favored by shaman who study the art of restoration and healing, this spell would feel smug, if it had feelings.","","","","","AT_048","","","","","","Healing Wave","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","RARE","","","","","TGT","","","Restore #7 Health. Reveal a minion in each deck. If yours costs more, Restore #14 instead.","SPELL"
"","Sean McNally","3","SHAMAN","","","","True","","5","2615","","","","","","","","","","","","","","Allowing totems to attack is not cheating.  I mean, there isn't anything in the rule books about it.","","","","6","AT_049","INSPIRE","","","","","Thunder Bluff Valiant","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","RARE","","","","","TGT","","","<b>Inspire:</b> Give your Totems +2 Attack.","MINION"
"","Peet Cooper","2","SHAMAN","","","","True","","4","2617","","","","","","","","","","","","4","","You can only pick it up if you are worthy.","","","","","AT_050","DEATHRATTLE","","","","","Charged Hammer","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","EPIC","","","","","TGT","","","<b>Deathrattle:</b> Your Hero Power becomes 'Deal 2 damage.'","WEAPON"
"","Tyler Walpole","","SHAMAN","","","","True","","3","2620","","","","","","","","","","","","","","I'm not a shaman or anything, but isn't Elemental Destruction the opposite of what they want to do?","","","","","AT_051","OVERLOAD","","","","","Elemental Destruction","","","","","","","","","","","","","","","","","","5","","","","","","","","","","","","","","","","","","","EPIC","","","","","TGT","","","Deal $4-$5 damage to all minions. <b>Overload:</b> (5)","SPELL"
"","Steve Prescott","3","SHAMAN","","","","True","","2","2610","","","","","","","","","","","","","","What happens when you glue a buncha totems together.","","","","4","AT_052","OVERLOAD","","","","","Totem Golem","","","","","","","","","","","","","","","","","","1","","","","","TOTEM","","","","","","","","","","","","","","COMMON","","","","","TGT","","","<b>Overload:</b> (1)","MINION"
"","Zoltan & Gabor","","SHAMAN","","","","True","","2","2514","","","","","","","","","","","","","","MOMMMMMYYYYYYYYY!!!","","","","","AT_053","OVERLOAD","","","","","Ancestral Knowledge","","","","","","","","","","","","","","","","","","2","","","","","","","","","","","","","","","","","","","COMMON","","","","","TGT","","","Draw 2 cards. <b>Overload:</b> (2)","SPELL"
"","Wei Wang","4","SHAMAN","","","","True","","6","2618","","","","","","","","","","","","","True","Calling the mist doesn't sound all that great.  ""Ooooh, it is slightly damp now!""","","","","4","AT_054","BATTLECRY","","","","","The Mistcaller","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","LEGENDARY","","","","","TGT","","","<b>Battlecry:</b> Give all minions in your hand and deck +1/+1.","MINION"
"","Marcelo Vignali","","PRIEST","","","","True","","1","2582","","","","","","","","","","","","","","Flash!  Ahhhhhhh~","","","","","AT_055","","","","","","Flash Heal","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","COMMON","","","","","TGT","","","Restore #5 Health.","SPELL"
"","Jonboy Meyers","","HUNTER","","","","True","","3","2638","","","","","","","","","","","","","","pow POW pow","","","","","AT_056","","","","","","Powershot","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","0","","","RARE","","","","","TGT","","","Deal $2 damage to a minion and the minions next to it.","SPELL"
"","Tyson Murphy","4","HUNTER","","","","True","","3","2639","","","","","","","","","","","","","","Takes way better care of her pets than her brother, Unstablemaster.","","","","2","AT_057","BATTLECRY","","","","","Stablemaster","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","0","","","","","20","EPIC","IMMUNE","","","","TGT","","Grant <b>Immune</b> this turn.","<b>Battlecry:</b> Give a friendly Beast <b>Immune</b> this turn.","MINION"
"","James Zhang","3","HUNTER","","","","True","","2","2635","","","","","","","","","","","","","","Elekk jousting is AWESOME.","","","","2","AT_058","BATTLECRY","","","","","King's Elekk","","","","","","","","","","","","","","","","","","","","","","","BEAST","","","","","","","","","","","","","","COMMON","","","","","TGT","","","<b>Battlecry:</b> Reveal a minion in each deck. If yours costs more, draw it.","MINION"
"","Eva Widermann","2","HUNTER","","","","True","","1","2642","","","","","","","","","","","","","","This is a ""bearly"" concealed reference.","","","","1","AT_059","INSPIRE","","","","","Brave Archer","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","COMMON","","","","","TGT","","","<b>Inspire:</b> If your hand is empty, deal 2 damage to the enemy hero.","MINION"
"","Richard Wright","","HUNTER","","","","True","","2","2641","","","","","","","","","","","","","","You'll never guess what's in that conveniently bear-sized, bear-smelling box.","","","","","AT_060","SECRET","","","","","Bear Trap","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","COMMON","TAUNT","","","","TGT","","","<b>Secret:</b> After your hero is attacked, summon a 3/3 Bear with <b>Taunt</b>.","SPELL"
"","Matt Dixon","","HUNTER","","","","True","","2","2484","","","","","","","","","","","","","","Rexxar narrowed his eyes, grabbed his machine gun, and said: ""It's go time.  Lock and load.""\nThis card pays homage to that special moment.","","","","","AT_061","","","","","","Lock and Load","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","EPIC","","","","","TGT","","","Each time you cast a spell this turn, add a random Hunter card to your hand.","SPELL"
"","Skan Srisuwan","","HUNTER","","","","True","","6","2483","","","","","","","","","","","","","","""THEY'RE EVERYWHERE GET THEM OFF!!!"" - Everyone","","","","","AT_062","","","","","","Ball of Spiders","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","RARE","","","","","TGT","","","Summon three 1/1 Webspinners.","SPELL"
"","Andrew Hou","4","HUNTER","","","","True","","7","2633","","","","","","","","","","","","","True","With the help of his trusty sidekick Dreadscale, the giant jormungar Acidmaw is ready to face any knight!","","","","2","AT_063","TRIGGER_VISUAL","","","","","Acidmaw","","","","","","","","","","","","","","","","","","","","","","","BEAST","","","","","","","","","","","","","","LEGENDARY","","","","","TGT","","","Whenever another minion takes damage, destroy it.","MINION"
